Цикл №236: Общая прибыль: 99865.51, Общие затраты: 23050.00, Разница: 76815.51, Среднее на складе: 5.00
Цикл №237: Общая прибыль: 100465.30, Общие затраты: 25170.00, Разница: 75295.30, Среднее на складе: -0.20
Цикл №238: Общая прибыль: 99889.59, Общие затраты: 25100.00, Разница: 74789.59, Среднее на складе: 3.50
Цикл №239: Общая прибыль: 100584.61, Общие затраты: 25740.00, Разница: 74844.61, Среднее на складе: -2.20
Цикл №240: Общая прибыль: 100058.01, Общие затраты: 23890.00, Разница: 76168.01, Среднее на складе: 3.50
Цикл №241: Общая прибыль: 99183.88, Общие затраты: 22580.00, Разница: 76603.88, Среднее на складе: 10.20
Цикл №242: Общая прибыль: 99922.01, Общие затраты: 24150.00, Разница: 75772.01, Среднее на складе: 9.40
Цикл №243: Общая прибыль: 100072.18, Общие затраты: 24610.00, Разница: 75462.18, Среднее на складе: 0.80
Цикл №244: Общая прибыль: 100424.45, Общие затраты: 24520.00, Разница: 75904.45, Среднее на складе: 2.10
Цикл №245: Общая прибыль: 100158.55, Общие затраты: 25810.00, Разница: 74348.55, Среднее на складе: -0.40
